Please provide a short description of yourself (2-3 sentences).,Please provide a brief description of the work you have done in the fellowship (3-5 sentences) - which could include work you're continuing on with after the fellowship,Please link to any artifacts you created during the fellowship,"Please provide any pertinent links (e.g., institutional affiliation, personal website, LinkedIn profile)."
"Nuño Sempere is a forecaster, programmer and researcher working to detect global risks at Sentinel.",,"1. https://github.com/NunoSempere/eye-of-sauron
2. xrisk.fyi, x.com/xriskfyi
3. tools.sentinel-team.org and tools.sentinel-team.org/twit.html <https://github.com/NunoSempere/tools.sentinel-team.org>
4. https://github.com/NunoSempere/autogenerated-twitter-reports
5. https://github.com/NunoSempere/hdbscan
6. docs.nunosempere.com, e.g., <https://x.com/NunoSempere/status/1965452477538693219>, but also used in the SSC grant round.
7. https://x.com/NunoSempere/status/1965820448123629986
8. https://forecasting.substack.com/

Probably I'm forgetting some small tool or other.","nunosempere.com
https://github.com/NunoSempere
x.com/NunoSempere"
"I'm Herbie Bradley, an AI researcher and writer. I'm a final-year PhD student at the University of Cambridge, and until recently I was at the UK AI Security Institute. I try to find the most impactful problems to solve to help make the future better with AI.","For this fellowship I've focused on the question of how we can create the most impactful content for future AI readers—concretely, around ideas for ""community notes everywhere"" for browsers, and AI-written wikipedia. On the latter, I've worked on building evaluations to measure the current capability of models to fix errors and expand wikipedia articles, as well as prioritization work to figure out in which domains Wikidata and Wikipedia would most benefit from expansion. ",https://docs.google.com/document/d/1KQsiF19t0QSoUQt72_yMTG-28m3kVGE2P8YxVxFeNwg/edit?usp=sharing,https://herbiebradley.com
"Agita Pasaribu is a lawyer and AI-ethics advocate who founded Bullyid App, a tech non-profit supporting victims of online harassment and gender-based violence, reaching 2M+ people through partnerships with Meta, TikTok, UNICEF, and Indonesia’s National Cybercrime Agency. She helped advance Indonesia’s Sexual Violence Law and has contributed to UNESCO’s AI Ethics Recommendation, advised G7/G20 on online safety, and served with the ITU and the Internet Society on global child-safety and digital-ethics initiatives.","Within the fellowship, I am building Evidentry, a coalition infrastructure that connects survivors, online platforms, and regulators to speed up the verification and removal of AI-generated intimate imagery and other non-consensual sexual content. Evidentry has three core layers:
- Multi-detector aggregation: we fuse outputs from leading deepfake-detection models to identify synthetic deception.
- Provenance & evidence (C2PA): we apply C2PA-style provenance and structured evidence capture to generate cryptographically verifiable reports.
- Verification & takedown workflow: we verify claimant/content, then drive a platform-integrated workflow that streamlines case submission, automated evidence review, escalation, and removal confirmation.
This directly addresses today’s regulatory environment. Under frameworks such as the U.S. “Take It Down” provisions, the EU Digital Services Act, and the UK Online Safety Act, platforms are expected to remove non-consensual intimate imagery without undue delay once notified. In practice, the lack of interoperable verification and provenance slows compliance. Evidentry operationalizes these mandates by providing shared, plug-in infrastructure—cutting response times from days to minutes while maintaining evidentiary integrity and auditability.
My research goal is to show how AI-facilitated coordination can embed accountability in real platform operations: multi-detector, provenance confidence scoring to support decisions, and verification and takedown protocols so diverse platforms can act quickly, fairly, and in line with global online-safety laws.",https://evidentry.app,https://www.linkedin.com/in/agitapasaribu/
"My background spans sustainability, entrepreneurship, and the study of how people make decisions. At Amazon, I helped launch the Climate Pledge and led research on sustainable consumption. Today, I’m focused on using AI to strengthen human reasoning and benefit humanity.","During the fellowship, I built an AI system that generates Community Notes on X to help combat misinformation, paired with a dedicated website that hosts long-form fact checks. Each note posted on X links back to the full analysis, allowing readers to explore evidence and reasoning in more depth. This approach combines the accessibility of short-form social content with the rigor of comprehensive fact-checking, and points to a future where AI fact checking complements human reasoning.",https://www.opennotenetwork.com/,https://www.linkedin.com/in/stevecisley/
"Matt is a tech entrepreneur deeply interested in helping AI go well for humanity. He’s experienced in 0 to 1 building, SaaS development, product ideation and iteration, and tinkering with AI.","I built a lot of MVPs to test different ideas related to AI-driven human empowerment / enablement. The projects I built clustered around the themes of sensemaking with unstructured data, communication (digital twin, AI filtering), and matching / coordination. I'm still figuring out / deciding what areas I want to double down on post-fellowship.","https://www.sealednote.com is live and public
All other projects were launched internally but I will write about them on my website - https://mattbrooks.xyz/
A lot of my projects / code is public on github: github.com/MattB543/",https://mattbrooks.xyz/
"Alex's background is in product management of enterprise machine learning infrastructure at Cloudera and AWS. Alex left AWS at the end of 2024 to focus on improving our trajectory through the AGI transition. Recognizing that group communication is integral to the most impactful decisions we make, and the existing pain points of group decision making, Alex identified a critical leverage point for helping humans make wise decisions about the development and distribution of AI.","Alex built several prototypes that use AI to facilitate group sense making and decision making, including the product that would evolve to become Chord. Chord provides AI-orchestrated communication, parallelizing conversations to help groups make better and faster decisions. Alex validated customer demand and the product's impact on group decisions through extensive user testing. Alex founded Sylience to continue building Chord and execute on his broad vision for orchestrated communication.",chord.sylience.com,linkedin.com/in/alexbleakley
I’m a technical builder with a background in climate startups and energy markets. I’m currently focused on creating epistemic and safety evaluations of frontier models.,"My work during the fellowship focused on evaluating both human and model outputs for attributes related to epistemic quality. I used LLMs to assess EA Forum posts along targeted quality dimensions, e.g. Reasoning, Clarity, and Value. I added confidence thresholds and hallucination penalties to frontier evals (HLE, GPQA) to test model calibration and am building a public leaderboard for this. I tested the model ability to identify “after” snapshots from quality-filtered Wikipedia revisions. I measured model sensitivity to epistemically irrelevant contexts—probing for sycophancy and self-protective behavior. I’m planning to build some of these out further in collaboration with other orgs.","Calibrated evals leaderboard preview:
https://calibrated-evals.streamlit.app/

Wikirevisions eval:
https://docs.google.com/document/d/1BWtehm9tYmVy2rFOYY41DjTpII-eIWpPfYPnD-ut45k/edit?tab=t.0

EA forum post quality analysis: https://forum.effectivealtruism.org/posts/7kHX4CEiKJgWfJahY/we-mapped-the-ea-forum-s-intellectual-landscape-read-about#Post_Level_Epistemic_Quality_Analysis",https://www.linkedin.com/in/alejandro-botas-b05b37196/
"Computer scientist and software engineer building innovative systems enhancing human reasoning. Interests span digital democracy, metacognition and tools-for-thought, futures thinking and worldbuilding.","I primarily worked on three projects: Group decision-making software, matchmaking software for the human workforce post-AGI, and a plan for a platform serving as epistemic infrastructure for collective sensemaking around desirable futures.",,https://sofiavanhanen.fi
Paul is a PhD candidate in philosophy and cognitive science. His work focuses on the nature of values and motivation in natural and artificial agents. He is invested in steering the development of AI to improve human flourishing. ,"Paul's work focuses on epistemic and other evals for frontier models. He has worked on clarifying the conditions of being an epistemically virtuous agent, making clear what the targets should be when we operationalize a metric to assess models by. He has also been a part of developing DeliberationBench, a benchmark to assess model influence on users' political views.",TBA,"https://www.pauldfr.com/

https://www.linkedin.com/in/paul-de-font-reaulx-b8920792/"
